Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-200,2000,33,28,2307,25.6,1,3,4,1,0,0,2,0,3.7,3.7,4.2,7.9,43,84,147,0.04,0.12,0.16,0.04,0.16,0.14,0.17,0.31,0.14,0.31,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-301,1996,28,23,1992,22.1,5,3,8,5,0,0,1,0,6.6,6.6,2.8,9.4,17,34,115,0.23,0.14,0.36,0.23,0.36,0.30,0.13,0.42,0.30,0.42,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,24-085,1999,24,24,2156,24.0,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19,136,20,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-228,1997,22,20,1815,20.2,1,0,1,1,0,0,3,0,0.6,0.6,0.4,1.0,16,83,3,0.05,0.00,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,Matches,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,27-041,1996,16,15,1415,15.7,2,0,2,2,0,0,4,0,2.2,2.2,0.4,2.6,2,24,4,0.13,0.00,0.13,0.13,0.13,0.14,0.03,0.17,0.14,0.17,Matches,288e1e13
6,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-042,2002,7,0,93,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,11,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.22,0.15,0.22,Matches,a6c58494
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21-338,2001,20,9,1031,11.5,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,30,43,76,0.09,0.00,0.09,0.09,0.09,0.06,0.09,0.15,0.06,0.15,Matches,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,25-023,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10,31,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-295,1995,27,22,2141,23.8,0,1,1,0,0,0,2,0,1.3,1.3,0.4,1.7,23,103,12,0.00,0.04,0.04,0.00,0.04,0.05,0.02,0.07,0.05,0.07,Matches,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,28-081,1995,25,21,1811,20.1,1,0,1,1,0,0,2,0,1.6,1.6,0.6,2.2,25,139,30,0.05,0.00,0.05,0.05,0.05,0.08,0.03,0.11,0.08,0.11,Matches,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-173,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.3,4,7,18,0.38,0.00,0.38,0.38,0.38,0.13,0.34,0.48,0.13,0.48,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,32-029,1991,18,14,1254,13.9,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,13,120,24,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Matches,77e84962
13,Carlos Alcaraz,ar ARG,MFFW,Southampton,20-161,2002,15,10,797,8.9,4,1,5,4,0,0,2,0,1.6,1.6,0.5,2.1,13,22,28,0.45,0.11,0.56,0.45,0.56,0.18,0.06,0.24,0.18,0.24,Matches,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-215,1998,34,31,2653,29.5,1,8,9,1,0,0,4,0,2.0,2.0,10.0,12.0,37,213,126,0.03,0.27,0.31,0.03,0.31,0.07,0.34,0.41,0.07,0.41,Matches,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-220,1992,35,35,3150,35.0,0,1,1,0,0,0,1,0,0.0,0.0,0.3,0.3,0,3,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,27-029,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,29-089,1994,30,25,2153,23.9,11,1,12,11,0,0,2,0,6.3,6.3,1.8,8.1,65,109,222,0.46,0.04,0.50,0.46,0.50,0.27,0.07,0.34,0.27,0.34,Matches,862a1c15
18,Julián Álvarez,ar ARG,FWMF,Manchester City,23-099,2000,27,10,1161,12.9,8,0,8,7,1,1,0,0,6.2,5.5,1.5,6.9,32,34,81,0.62,0.00,0.62,0.54,0.54,0.48,0.11,0.60,0.42,0.54,Matches,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-140,1994,20,18,1610,17.9,0,0,0,0,0,0,1,0,1.1,1.1,0.5,1.6,23,66,5,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Matches,1a4ef233
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-344,1996,29,29,2512,27.9,1,0,1,1,0,0,8,0,1.8,1.8,1.1,2.9,8,86,7,0.04,0.00,0.04,0.04,0.04,0.07,0.04,0.10,0.07,0.10,Matches,e34fc66d
21,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,20-185,2002,18,1,224,2.5,0,0,0,0,0,0,0,0,0.9,0.9,0.8,1.7,17,14,21,0.00,0.00,0.00,0.00,0.00,0.37,0.31,0.68,0.37,0.68,Matches,de31038e
22,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-160,1999,27,10,1141,12.7,3,1,4,3,0,0,2,0,2.2,2.2,1.0,3.3,29,46,67,0.24,0.08,0.32,0.24,0.32,0.18,0.08,0.26,0.18,0.26,Matches,e4238fb1
23,Michail Antonio,jm JAM,FW,West Ham,33-043,1990,32,20,1768,19.6,5,3,8,5,0,0,2,0,6.4,6.4,1.3,7.7,45,27,114,0.25,0.15,0.41,0.25,0.41,0.33,0.06,0.39,0.33,0.39,Matches,ac05f970
24,Antony,br BRA,FW,Manchester Utd,23-075,2000,22,20,1599,17.8,4,1,5,4,0,0,5,0,5.6,5.6,2.2,7.8,79,67,145,0.23,0.06,0.28,0.23,0.28,0.32,0.12,0.44,0.32,0.44,Matches,99127249
25,Cameron Archer,eng ENG,FWMF,Aston Villa,21-293,2001,6,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,05e8ca6d
26,Alphonse Areola,fr FRA,GK,West Ham,30-072,1993,5,2,309,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2f965a72
27,Joe Aribo,ng NGA,MFFW,Southampton,26-293,1996,20,12,1155,12.8,2,0,2,2,0,0,2,0,1.5,1.5,0.8,2.3,19,39,62,0.16,0.00,0.16,0.16,0.16,0.12,0.06,0.18,0.12,0.18,Matches,328f7d51
28,Adam Armstrong,eng ENG,FWMF,Southampton,26-089,1997,28,14,1298,14.4,1,1,2,1,0,0,2,0,1.9,1.9,1.3,3.2,38,16,68,0.07,0.07,0.14,0.07,0.14,0.13,0.09,0.22,0.13,0.22,Matches,68c720b5
29,Stuart Armstrong,sct SCO,MFFW,Southampton,31-041,1992,29,13,1289,14.3,2,1,3,2,0,0,6,0,2.4,2.4,2.2,4.6,57,73,84,0.14,0.07,0.21,0.14,0.21,0.17,0.15,0.32,0.17,0.32,Matches,97333cf5
30,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-219,1994,26,26,2295,25.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,28d596a0
31,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-326,1989,15,5,554,6.2,1,0,1,1,0,0,1,0,1.5,1.5,0.4,1.9,9,3,29,0.16,0.00,0.16,0.16,0.16,0.24,0.07,0.30,0.24,0.30,Matches,d5dd5f1f
32,Ludwig Augustinsson,se SWE,DF,Aston Villa,29-019,1994,3,1,77,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches,9fec8860
33,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-137,1992,21,19,1673,18.6,1,0,1,1,0,0,2,0,0.7,0.7,1.0,1.7,34,63,46,0.05,0.00,0.05,0.05,0.05,0.04,0.05,0.09,0.04,0.09,Matches,5c2b4f07
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-271,1997,24,14,1158,12.9,6,1,7,6,0,0,1,0,5.9,5.9,1.1,7.0,14,11,46,0.47,0.08,0.54,0.47,0.54,0.46,0.08,0.54,0.46,0.54,Matches,e5478b87
35,Yasin Ayari,se SWE,MF,Brighton,19-216,2003,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0,2,2,0.00,0.00,0.00,0.00,0.00,0.10,0.54,0.63,0.10,0.63,Matches,f173303a
36,André Ayew,gh GHA,FWMF,Nott'ham Forest,33-144,1989,12,1,314,3.5,0,0,0,0,0,1,1,0,1.0,0.3,0.0,0.3,3,11,16,0.00,0.00,0.00,0.00,0.00,0.30,0.01,0.31,0.07,0.09,Matches,5dbefa9d
37,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-241,1991,35,28,2444,27.2,4,2,6,4,0,0,5,0,2.9,2.9,2.7,5.5,74,57,163,0.15,0.07,0.22,0.15,0.22,0.11,0.10,0.20,0.11,0.20,Matches,da052c14
38,Luke Ayling,eng ENG,DF,Leeds United,31-258,1991,26,19,1784,19.8,1,1,2,1,0,0,3,0,2.1,2.1,2.0,4.1,22,66,79,0.05,0.05,0.10,0.05,0.10,0.11,0.10,0.21,0.11,0.21,Matches,420d7c7d
39,César Azpilicueta,es ESP,DF,Chelsea,33-255,1989,22,13,1257,14.0,0,0,0,0,0,0,3,0,0.4,0.4,1.0,1.4,18,62,68,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,Matches,53cad200
40,Benoît Badiashile,fr FRA,DF,Chelsea,22-045,2001,10,9,815,9.1,1,0,1,1,0,0,2,0,1.2,1.2,0.5,1.6,10,48,1,0.11,0.00,0.11,0.11,0.11,0.13,0.05,0.18,0.13,0.18,Matches,06df8256
41,Leon Bailey,jm JAM,FWMF,Aston Villa,25-274,1997,30,23,1780,19.8,4,3,7,4,0,0,4,0,4.9,4.9,3.7,8.6,79,26,171,0.20,0.15,0.35,0.20,0.35,0.25,0.19,0.44,0.25,0.44,Matches,3a233281
42,Stefan Bajcetic,es ESP,MF,Liverpool,18-200,2004,11,6,526,5.8,1,0,1,1,0,0,2,0,0.8,0.8,0.4,1.2,10,24,1,0.17,0.00,0.17,0.17,0.17,0.13,0.06,0.20,0.13,0.20,Matches,32e8417f
43,Patrick Bamford,eng ENG,FW,Leeds United,29-247,1993,26,16,1393,15.5,4,2,6,4,0,1,2,0,7.6,6.8,0.9,7.7,15,22,89,0.26,0.13,0.39,0.26,0.39,0.49,0.06,0.55,0.44,0.50,Matches,93feac6e
44,Shandon Baptiste,gd GRN,MF,Brentford,25-032,1998,20,4,575,6.4,0,1,1,0,0,0,3,1,0.4,0.4,1.0,1.4,8,39,22,0.00,0.16,0.16,0.00,0.16,0.06,0.16,0.22,0.06,0.22,Matches,2886c9b5
45,Harvey Barnes,eng ENG,FWMF,Leicester City,25-152,1997,31,30,2533,28.1,12,1,13,12,0,0,3,0,8.4,8.4,2.9,11.3,93,73,248,0.43,0.04,0.46,0.43,0.46,0.30,0.10,0.40,0.30,0.40,Matches,3ea50f67
46,Gavin Bazunu,ie IRL,GK,Southampton,21-079,2002,32,32,2880,32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c91441dc
47,Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-123,1999,4,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,30db8574
48,Jan Bednarek,pl POL,DF,Southampton,27-028,1996,17,17,1402,15.6,0,0,0,0,0,0,4,0,0.4,0.4,0.1,0.5,7,45,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,4115ce4e
49,Jan Bednarek,pl POL,DF,Aston Villa,27-028,1996,3,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4115ce4e
50,Donny van de Beek,nl NED,MF,Manchester Utd,26-022,1997,7,2,167,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,6,20,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches,50dc94ce
51,Asmir Begović,ba BIH,GK,Everton,35-324,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7b4de647
52,Armel Bella Kotchap,de GER,DF,Southampton,21-150,2001,24,24,1879,20.9,0,2,2,0,0,0,4,0,1.0,1.0,1.0,2.1,9,39,2,0.00,0.10,0.10,0.00,0.10,0.05,0.05,0.10,0.05,0.10,Matches,a39d11bc
53,Saïd Benrahma,dz ALG,FWMF,West Ham,27-273,1995,33,21,1976,22.0,6,3,9,2,4,4,0,0,6.8,3.7,4.4,8.1,98,79,225,0.27,0.14,0.41,0.09,0.23,0.31,0.20,0.51,0.17,0.37,Matches,5a04fd92
54,Rodrigo Bentancur,uy URU,MF,Tottenham,25-319,1997,18,17,1500,16.7,5,2,7,5,0,0,8,0,2.2,2.2,0.8,3.1,26,76,19,0.30,0.12,0.42,0.30,0.42,0.13,0.05,0.18,0.13,0.18,Matches,3b8674e6
55,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-145,2002,12,11,892,9.9,0,1,1,0,0,0,2,0,0.1,0.1,0.8,0.9,17,31,24,0.00,0.10,0.10,0.00,0.10,0.01,0.08,0.10,0.01,0.10,Matches,505486d6
56,Owen Bevan,wls WAL,DF,Bournemouth,19-196,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,87966294
57,Giulian Biancone,fr FRA,DF,Nott'ham Forest,23-040,2000,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,de40e38c
58,Philip Billing,dk DEN,MFFW,Bournemouth,26-333,1996,34,32,2615,29.1,7,1,8,7,0,0,5,0,4.9,4.9,3.1,8.0,37,76,95,0.24,0.03,0.28,0.24,0.28,0.17,0.11,0.28,0.17,0.28,Matches,d328a254
59,Yves Bissouma,ml MLI,MF,Tottenham,26-253,1996,20,8,814,9.0,0,0,0,0,0,0,5,0,0.2,0.2,0.5,0.7,10,45,7,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches,6c203af0
60,Willy Boly,ci CIV,DF,Nott'ham Forest,32-096,1991,9,8,602,6.7,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,1,11,0,0.00,0.15,0.15,0.00,0.15,0.00,0.03,0.03,0.00,0.03,Matches,a4ac4b8f
61,Sven Botman,nl NED,DF,Newcastle Utd,23-118,2000,32,31,2767,30.7,0,0,0,0,0,0,2,0,2.4,2.4,1.0,3.4,8,76,5,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.11,0.08,0.11,Matches,ccce7025
62,Jarrod Bowen,eng ENG,FWMF,West Ham,26-141,1996,35,35,3113,34.6,5,4,9,4,1,2,2,0,8.4,7.3,6.4,13.7,95,69,202,0.14,0.12,0.26,0.12,0.23,0.24,0.18,0.43,0.21,0.40,Matches,79c84d1c
63,James Bree,eng ENG,DF,Southampton,25-211,1997,3,2,201,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,3,3,11,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches,c07b7c5c
64,Armando Broja,al ALB,FW,Chelsea,21-242,2001,12,2,294,3.3,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.9,8,4,17,0.31,0.00,0.31,0.31,0.31,0.26,0.02,0.27,0.26,0.27,Matches,97220da2
65,David Brooks,wls WAL,FWDF,Bournemouth,25-306,1997,3,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches,dc4cae05
66,Lewis Brunt,eng ENG,DF,Leicester City,22-185,2000,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a2081c6b
67,Bryan,es ESP,MFFW,Tottenham,22-088,2001,4,2,148,1.6,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,4,5,15,0.00,0.61,0.61,0.00,0.61,0.06,0.11,0.17,0.06,0.17,Matches,7b5ab7f2
68,Emi Buendía,ar ARG,MFFW,Aston Villa,26-136,1996,35,26,2297,25.5,5,2,7,5,0,0,0,0,6.1,6.1,5.3,11.4,57,133,128,0.20,0.08,0.27,0.20,0.27,0.24,0.21,0.45,0.24,0.45,Matches,66b76d44
69,Hugo Bueno,es ESP,DF,Wolves,20-234,2002,19,15,1236,13.7,0,1,1,0,0,0,1,0,0.2,0.2,1.1,1.3,50,38,60,0.00,0.07,0.07,0.00,0.07,0.01,0.08,0.10,0.01,0.10,Matches,bfc3b3a0
70,Facundo Buonanotte,ar ARG,FWMF,Brighton,18-138,2004,8,3,287,3.2,1,1,2,1,0,0,0,0,1.0,1.0,0.5,1.5,6,5,20,0.31,0.31,0.63,0.31,0.63,0.33,0.15,0.47,0.33,0.47,Matches,468a7a91
71,Dan Burn,eng ENG,DF,Newcastle Utd,31-001,1992,34,32,2825,31.4,0,0,0,0,0,0,5,0,1.4,1.4,1.2,2.6,24,102,40,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches,b2d31e83
72,Cafú,pt POR,MF,Nott'ham Forest,30-073,1993,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,85322440
73,Moisés Caicedo,ec ECU,MF,Brighton,21-189,2001,32,30,2734,30.4,1,1,2,1,0,0,9,0,1.6,1.6,2.5,4.1,30,194,51,0.03,0.03,0.07,0.03,0.07,0.05,0.08,0.13,0.05,0.13,Matches,16264a81
74,Tom Cairney,sct SCO,MF,Fulham,32-110,1991,30,3,762,8.5,2,0,2,2,0,0,2,0,1.0,1.0,1.2,2.2,29,74,44,0.24,0.00,0.24,0.24,0.24,0.11,0.15,0.26,0.11,0.26,Matches,a8748947
75,Duje Ćaleta-Car,hr CRO,DF,Southampton,26-235,1996,13,9,946,10.5,1,0,1,1,0,0,2,0,0.8,0.8,0.0,0.8,5,33,0,0.10,0.00,0.10,0.10,0.10,0.08,0.00,0.08,0.08,0.08,Matches,94f8d10c
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,26-055,1997,15,13,1076,12.0,2,1,3,1,1,1,3,0,5.4,4.6,0.8,5.4,13,14,50,0.17,0.08,0.25,0.08,0.17,0.45,0.07,0.52,0.39,0.45,Matches,59e6e5bf
77,Chem Campbell,wls WAL,FWMF,Wolves,20-131,2002,5,0,74,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,4,10,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,6f711f67
78,João Cancelo,pt POR,DF,Manchester City,28-348,1994,17,16,1274,14.2,2,1,3,2,0,0,3,1,0.8,0.8,0.9,1.7,72,106,125,0.14,0.07,0.21,0.14,0.21,0.06,0.06,0.12,0.06,0.12,Matches,bd6351cd
79,Thomas Cannon,ie IRL,FW,Everton,20-133,2002,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,1,0,2,0.00,0.00,0.00,0.00,0.00,0.32,1.95,2.27,0.32,2.27,Matches,4506aec5
80,Sergi Canós,es ESP,FWDF,Brentford,26-097,1997,5,0,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,2,7,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.11,0.09,0.11,Matches,1137759d
81,Diego Carlos,br BRA,DF,Aston Villa,30-056,1993,3,2,205,2.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,11,0,0.00,0.00,0.00,0.00,0.00,0.16,0.02,0.18,0.16,0.18,Matches,b4a014b1
82,Fabio Carvalho,pt POR,MFFW,Liverpool,20-253,2002,12,4,340,3.8,2,0,2,2,0,0,0,0,1.1,1.1,0.1,1.2,7,11,26,0.53,0.00,0.53,0.53,0.53,0.29,0.03,0.32,0.29,0.32,Matches,966e28d0
83,Casemiro,br BRA,MF,Manchester Utd,31-076,1992,24,20,1788,19.9,2,3,5,2,0,0,6,2,2.6,2.6,2.5,5.2,12,121,31,0.10,0.15,0.25,0.10,0.25,0.13,0.13,0.26,0.13,0.26,Matches,4d224fe8
84,Matty Cash,pl POL,DF,Aston Villa,25-276,1997,23,18,1639,18.2,0,1,1,0,0,0,3,0,0.2,0.2,0.7,0.9,41,74,56,0.00,0.05,0.05,0.00,0.05,0.01,0.04,0.05,0.01,0.05,Matches,2389cdc2
85,Timothy Castagne,be BEL,DF,Leicester City,27-156,1995,34,33,2985,33.2,2,3,5,2,0,0,3,0,2.1,2.1,2.6,4.7,39,103,147,0.06,0.09,0.15,0.06,0.15,0.06,0.08,0.14,0.06,0.14,Matches,197640fd
86,Jonny Castro,es ESP,DF,Wolves,29-068,1994,18,14,1261,14.0,1,0,1,1,0,0,3,1,0.3,0.3,1.0,1.3,24,70,46,0.07,0.00,0.07,0.07,0.07,0.02,0.07,0.10,0.02,0.10,Matches,e28868f3
87,Julio César Enciso,py PAR,FWMF,Brighton,19-107,2004,15,3,530,5.9,2,2,4,2,0,0,1,0,2.7,2.7,1.2,3.8,26,21,46,0.34,0.34,0.68,0.34,0.68,0.45,0.20,0.65,0.45,0.65,Matches,9cfbad36
88,Nathaniel Chalobah,eng ENG,MF,Fulham,28-149,1994,4,1,12,0.1,0,0,0,0,0,0,0,1,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.71,0.71,0.71,Matches,422862ea
89,Trevoh Chalobah,eng ENG,DF,Chelsea,23-309,1999,21,14,1293,14.4,0,0,0,0,0,0,4,0,0.6,0.6,0.2,0.8,13,59,17,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.05,0.04,0.05,Matches,5515376c
90,Calum Chambers,eng ENG,DFMF,Aston Villa,28-110,1995,14,2,353,3.9,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,6,16,2,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,Matches,dc6f5bdd
91,Ben Chilwell,eng ENG,DFMF,Chelsea,26-140,1996,23,15,1408,15.6,2,2,4,2,0,0,3,0,1.4,1.4,2.2,3.7,43,41,131,0.13,0.13,0.26,0.13,0.26,0.09,0.14,0.23,0.09,0.23,Matches,d2424d1b
92,Ryan Christie,sct SCO,MFFW,Bournemouth,28-077,1995,29,19,1646,18.3,1,1,2,1,0,0,2,0,2.3,2.3,2.2,4.6,36,62,63,0.05,0.05,0.11,0.05,0.11,0.13,0.12,0.25,0.13,0.25,Matches,26ce2263
