Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Bayern Munich,32,20,8,4,89,34,+55,68,2.13,72.0,33.1,+38.9,+1.22,D L W W W,75000,Serge Gnabry - 13,Yann Sommer,
2,Dortmund,32,21,4,7,78,42,+36,67,2.09,64.0,41.1,+23.0,+0.72,D W D W W,81219,Donyell Malen - 9,Gregor Kobel,
3,RB Leipzig,32,18,6,8,57,38,+19,60,1.88,57.3,34.3,+22.9,+0.72,W L W W W,45892,Christopher Nkunku - 13,Janis Blaswich,
4,Union Berlin,32,17,8,7,48,34,+14,59,1.84,35.1,39.8,-4.7,-0.15,D W D L W,21810,Sheraldo Becker - 11,Frederik Rønnow,
5,Freiburg,32,16,8,8,48,42,+6,56,1.75,45.0,46.0,-1.0,-0.03,W W W L L,34163,Vincenzo Grifo - 14,Mark Flekken,
6,Wolfsburg,32,13,10,9,56,44,+12,49,1.53,47.2,47.9,-0.7,-0.02,D W W L W,25308,Yannick Gerhardt Jonas Wind - 6,Koen Casteels,
7,Leverkusen,32,14,7,11,55,44,+11,49,1.53,49.1,39.9,+9.2,+0.29,D W D L D,28509,Moussa Diaby - 9,Lukáš Hrádecký,
8,Eint Frankfurt,32,12,10,10,54,49,+5,46,1.44,48.4,40.8,+7.5,+0.24,D L D L W,50075,Randal Kolo Muani - 14,Kevin Trapp,
9,Mainz 05,32,12,9,11,51,49,+2,45,1.41,44.0,47.9,-3.9,-0.12,D W L L L,28806,Marcus Ingvartsen Karim Onisiwo - 9,Robin Zentner,
10,Köln,32,10,11,11,47,51,-4,41,1.28,45.2,39.5,+5.7,+0.18,D W L W W,49750,Ellyes Skhiri - 7,Marvin Schwäbe,
11,M'Gladbach,32,10,9,13,48,53,-5,39,1.22,47.4,51.4,-3.9,-0.12,D L L W L,52390,Marcus Thuram - 13,Jonas Omlin,
12,Werder Bremen,32,10,5,17,50,62,-12,35,1.09,39.0,50.6,-11.7,-0.37,L W L L L,41538,Niclas Füllkrug - 16,Jiří Pavlenka,
13,Augsburg,32,9,7,16,42,58,-16,34,1.06,34.0,52.7,-18.7,-0.58,L D D W L,27787,Mergim Berisha - 9,Rafał Gikiewicz,
14,Hoffenheim,32,9,5,18,43,54,-11,32,1.00,44.7,46.7,-1.9,-0.06,D L L W L,24290,Andrej Kramarić - 10,Oliver Baumann,
15,Bochum,32,9,4,19,36,71,-35,31,0.97,37.6,63.8,-26.1,-0.82,D L D L W,25275,Philipp Hofmann - 8,Manuel Riemann,
16,Schalke 04,32,7,9,16,31,65,-34,30,0.94,37.3,52.9,-15.5,-0.48,W L W W L,61105,Marius Bülter - 11,Alexander Schwolow,
17,Stuttgart,32,6,11,15,40,55,-15,29,0.91,43.3,43.0,+0.3,+0.01,D D W L D,46481,Sehrou Guirassy - 10,Florian Müller,
18,Hertha BSC,32,6,7,19,39,67,-28,25,0.78,36.2,55.5,-19.2,-0.60,L L L W L,52606,Dodi Lukebakio - 11,Oliver Christensen,