Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,GlsG,AstG,G+AG,G-PKG,G+A-PKG,xGG,xAGG,xG+xAGG,npxGG,npxG+xAGG
Arsenal,26,25.4,59.5,35,385,3150,35.0,79,60,139,76,3,4,48,0,67.5,64.8,50.0,114.8,760,1904,2.26,1.71,3.97,2.17,3.89,1.93,1.43,3.36,1.85,3.28
Aston Villa,26,27.8,50.0,35,385,3150,35.0,44,31,75,41,3,3,68,1,44.9,42.6,34.5,77.1,583,1162,1.26,0.89,2.14,1.17,2.06,1.28,0.99,2.27,1.22,2.20
Bournemouth,31,27.2,39.8,35,385,3150,35.0,37,24,61,37,0,0,62,0,36.8,36.8,27.0,63.8,468,910,1.06,0.69,1.74,1.06,1.74,1.05,0.77,1.82,1.05,1.82
Brentford,25,27.0,44.0,35,385,3150,35.0,50,30,80,43,7,8,51,1,50.8,44.6,33.8,78.4,342,1048,1.43,0.86,2.29,1.23,2.09,1.45,0.96,2.42,1.27,2.24
Brighton,27,27.3,60.7,33,363,2970,33.0,59,38,97,53,6,6,44,0,65.0,60.7,45.7,106.4,716,1671,1.79,1.15,2.94,1.61,2.76,1.97,1.39,3.36,1.84,3.22
Chelsea,32,27.3,58.7,34,374,3060,34.0,34,25,59,31,3,3,75,3,42.9,40.6,33.0,73.6,717,1529,1.00,0.74,1.74,0.91,1.65,1.26,0.97,2.23,1.19,2.16
Crystal Palace,26,27.6,45.3,35,385,3150,35.0,33,25,58,32,1,3,82,3,34.8,32.3,25.8,58.1,489,1114,0.94,0.71,1.66,0.91,1.63,0.99,0.74,1.73,0.92,1.66
Everton,28,27.4,42.9,35,385,3150,35.0,30,23,53,27,3,3,78,2,40.5,38.2,28.9,67.1,460,960,0.86,0.66,1.51,0.77,1.43,1.16,0.83,1.99,1.09,1.92
Fulham,29,29.0,48.4,35,385,3150,35.0,47,29,76,43,4,7,75,1,41.4,35.9,25.4,61.3,597,1218,1.34,0.83,2.17,1.23,2.06,1.18,0.73,1.91,1.03,1.75
Leeds United,29,25.9,47.3,35,385,3150,35.0,41,29,70,40,1,2,79,2,43.0,41.4,29.9,71.3,510,1299,1.17,0.83,2.00,1.14,1.97,1.23,0.85,2.08,1.18,2.04
Leicester City,28,26.9,48.8,35,385,3150,35.0,47,34,81,44,3,6,60,2,48.7,43.9,36.8,80.7,553,1247,1.34,0.97,2.31,1.26,2.23,1.39,1.05,2.44,1.25,2.31
Liverpool,27,28.2,60.3,35,385,3150,35.0,63,51,114,61,2,4,51,1,65.7,62.6,50.9,113.5,630,1815,1.80,1.46,3.26,1.74,3.20,1.88,1.45,3.33,1.79,3.24
Manchester City,23,28.0,64.9,34,374,3060,34.0,87,65,152,78,9,10,43,1,73.3,65.8,52.7,118.5,884,1922,2.56,1.91,4.47,2.29,4.21,2.16,1.55,3.71,1.93,3.49
Manchester Utd,26,27.7,54.1,34,374,3060,34.0,47,37,84,45,2,2,73,2,55.1,53.5,43.5,97.0,619,1400,1.38,1.09,2.47,1.32,2.41,1.62,1.28,2.90,1.57,2.85
Newcastle Utd,26,28.1,52.2,34,374,3060,34.0,58,38,96,54,4,4,55,1,62.2,59.2,46.5,105.7,599,1432,1.71,1.12,2.82,1.59,2.71,1.83,1.37,3.20,1.74,3.11
Nott'ham Forest,33,27.3,38.6,35,385,3150,35.0,32,19,51,29,3,6,78,0,37.0,32.3,24.6,56.9,416,820,0.91,0.54,1.46,0.83,1.37,1.06,0.70,1.76,0.92,1.63
Southampton,32,25.4,45.4,35,385,3150,35.0,31,21,52,29,2,4,66,0,35.0,31.8,26.5,58.3,534,1077,0.89,0.60,1.49,0.83,1.43,1.00,0.76,1.76,0.91,1.67
Tottenham,27,28.4,49.7,35,385,3150,35.0,62,42,104,58,4,5,73,3,51.8,47.9,39.2,87.1,643,1352,1.77,1.20,2.97,1.66,2.86,1.48,1.12,2.60,1.37,2.49
West Ham,25,29.0,41.2,35,385,3150,35.0,37,21,58,31,6,8,42,0,45.4,40.0,29.3,69.2,557,1156,1.06,0.60,1.66,0.89,1.49,1.30,0.84,2.13,1.14,1.98
Wolves,31,27.5,49.9,35,385,3150,35.0,27,12,39,24,3,3,78,6,34.5,32.2,24.2,56.4,559,1252,0.77,0.34,1.11,0.69,1.03,0.99,0.69,1.68,0.92,1.61